datemonth,Florida_average
200001,107057.8335
200002,107289.7307
200003,107570.8364
200004,108142.2519
200005,108758.462
200006,109387.1948
200007,110018.9175
200008,110662.2946
200009,111329.1596
200010,112009.9247
200011,112717.3521
200012,113447.003
200101,114114.1754
200102,114777.0118
200103,115469.9188
200104,116288.4095
200105,117184.9037
200106,118120.6992
200107,119126.7065
200108,120193.0067
200109,121298.454
200110,122406.9346
200111,123470.0101
200112,124512.6213
200201,125453.9831
200202,126324.7546
200203,127176.1112
200204,128134.0447
200205,129185.0872
200206,130284.0069
200207,131402.8106
200208,132598.4835
200209,133781.4043
200210,134962.7739
200211,136085.0602
200212,137300.9406
200301,138499.575
200302,139731.3413
200303,140994.4667
200304,142401.7722
200305,143888.2682
200306,145363.2092
200307,146823.4476
200308,148316.485
200309,149866.4456
200310,151436.7297
200311,152977.1608
200312,154451.0052
200401,155863.9862
200402,157263.2447
200403,158796.2809
200404,160544.3539
200405,162590.8617
200406,164912.3329
200407,167491.3647
200408,170331.5313
200409,173215.5432
200410,175986.1291
200411,178584.7469
200412,181232.7273
200501,183951.7991
200502,186859.4456
200503,190119.5179
200504,193961.8361
200505,198249.273
200506,202897.0559
200507,207856.9578
200508,212983.2665
200509,218007.6809
200510,222635.0798
200511,226913.387
200512,230922.1599
200601,234627.5659
200602,238065.3643
200603,241638.0139
200604,245615.5714
200605,249430.0782
200606,252623.6953
200607,254815.1985
200608,256253.7781
200609,256856.5178
200610,256829.2743
200611,256444.3683
200612,255674.5071
200701,254700.4863
200702,253647.63
200703,252437.8663
200704,251040.8687
200705,249221.7919
200706,246948.2719
200707,244209.4483
200708,241182.452
200709,238083.4578
200710,234913.9045
200711,231599.7744
200712,228238.692
200801,224587.123
200802,220983.133
200803,217134.1025
200804,213386.0892
200805,209359.4159
200806,205443.488
200807,201439.6378
200808,197276.9165
200809,193043.501
200810,188761.502
200811,184551.2256
200812,180525.7701
200901,176739.6794
200902,173375.4676
200903,170212.7667
200904,167063.6635
200905,164017.1545
200906,161119.1444
200907,158639.5056
200908,156354.9327
200909,154263.278
200910,152493.7106
200911,151313.8719
200912,150417.2089
201001,149726.9586
201002,149125.8828
201003,148716.4347
201004,148358.9401
201005,147895.4234
201006,147196.457
201007,146227.7622
201008,145018.0906
201009,143697.564
201010,142316.5552
201011,140918.0309
201012,139584.956
201101,138252.8233
201102,136989.6333
201103,135699.5119
201104,134451.3187
201105,133204.6913
201106,132077.8282
201107,131039.3815
201108,130222.352
201109,129608.1772
201110,129256.0873
201111,129076.1114
201112,128994.0746
201201,129022.5631
201202,129143.802
201203,129337.7369
201204,129699.1913
201205,130167.1385
201206,130801.2189
201207,131437.237
201208,132002.7909
201209,132604.4376
201210,133350.3767
201211,134406.696
201212,135814.5175
201301,137424.6205
201302,139068.3419
201303,140745.7161
201304,142473.3429
201305,144421.9468
201306,146331.4216
201307,148165.6502
201308,149916.8719
201309,151618.7664
201310,153415.6066
201311,155002.646
201312,156621.8595
201401,158163.0763
201402,159824.0168
201403,161381.687
201404,162768.825
201405,164137.0128
201406,165270.831
201407,166438.9391
201408,167432.9441
201409,168466.1261
201410,169333.1949
201411,170416.7565
201412,171701.6288
201501,173104.4403
201502,174333.8896
201503,175419.4294
201504,176509.6815
201505,177744.5992
201506,179010.806
201507,180454.5163
201508,181982.9277
201509,183645.5533
201510,185382.9172
201511,187058.1256
201512,188613.4539
201601,190047.098
201602,191406.0534
201603,192655.2408
201604,193978.4265
201605,195287.8331
201606,196687.6022
201607,197916.3177
201608,199189.4186
201609,200619.5194
201610,202210.4087
201611,203666.6523
201612,204874.3636
201701,205932.582
201702,207116.9467
201703,208499.6028
201704,209968.5954
201705,211255.1822
201706,212582.0382
201707,213842.669
201708,215265.9467
201709,216644.4834
201710,218122.7781
201711,219644.0815
201712,221236.8045
201801,222653.4171
201802,223897.5656
201803,225149.0829
201804,226389.3886
201805,227675.7364
201806,228759.3234
201807,230164.0073
201808,231536.2286
201809,232929.6731
201810,234076.4023
201811,235294.1001
201812,236610.1064
201901,237797.7171
201902,238863.3814
201903,239583.9962
201904,240104.3248
201905,240383.9874
201906,240789.1607
201907,241313.0557
201908,242027.5389
201909,242737.8222
201910,243679.0743
201911,244966.489
201912,246553.121
202001,248475.3896
202002,250286.419
202003,251877.5508
202004,252845.3701
202005,253112.2783
202006,253246.1146
202007,253817.7749
202008,255393.5794
202009,257920.9389
202010,260911.6088
202011,264422.9684
202012,267912.9574
202101,271525.0382
202102,275123.6836
202103,278969.1305
202104,283245.4723
202105,288420.5267
202106,294756.1139
202107,301244.058
202108,307016.0041
202109,311692.9152
202110,316297.745
202111,321449.0411
202112,327017.3001
202201,334007.3944
202202,342137.7508
202203,351734.1805
202204,361825.7186
202205,371497.3611
202206,380094.2596
202207,385927.3525
202208,388879.8443
202209,389257.376
202210,388774.9688
202211,388068.6412
202212,387222.9791
202301,385875.855
202302,384735.1453
202303,384271.1892
202304,384716.3202
202305,385769.5521
202306,387444.5707
202307,389148.0234
202308,390836.1272
202309,392010.106
202310,393073.8159
202311,394006.4609
202312,394838.824
202401,395544.8135
202402,396272.8569
202403,397137.437
